front,back,hint
"vanheta","[MEANING]","[EXAMPLE]"
"mitään","[MEANING]","[EXAMPLE]"
"osata","[MEANING]","[EXAMPLE]"
"Ruoan jälkeen","[MEANING]","[EXAMPLE]"
"mihin aikaan?","At what time?","Mihin aikaan tapaamme huomenna?"
"varttia vaille viisi","[MEANING]","[EXAMPLE]"
"suoraan","[MEANING]","[EXAMPLE]"
"muro","[MEANING]","[EXAMPLE]"
"kamala","[MEANING]","[EXAMPLE]"
"Käyks viideltä?","[MEANING]","[EXAMPLE]"
"Mä tuun suoraan töistä.","[MEANING]","[EXAMPLE]"
"No sopiks viideltä?","[MEANING]","[EXAMPLE]"
"Missä me nähään?","[MEANING]","[EXAMPLE]"
"Missä nähdään?","[MEANING]","[EXAMPLE]"
"Nähdään suoraan uimahallilla.","[MEANING]","[EXAMPLE]"
"voinko häiritä sinua?","[MEANING]","[EXAMPLE]"
"tavallinen","[MEANING]","[EXAMPLE]"
"Minä herään kello 6, kun herätyskello soi","[MEANING]","[EXAMPLE]"
"Ensiksi käyn suihkussa","[MEANING]","[EXAMPLE]"
"puen sitten päälle","[MEANING]","[EXAMPLE]"
"Sen jälkeen teen keittiössä aamupalaa","[MEANING]","[EXAMPLE]"
"luen lehteä","[MEANING]","[EXAMPLE]"
"Sitten sanomme "hyvää yötä"","[MEANING]","[EXAMPLE]"
"lapset menevät nukkumaan.","[MEANING]","[EXAMPLE]"
"Lapset syövät yleensä muroja","[MEANING]","[EXAMPLE]"
"Illalla katsomme televisiota.","[MEANING]","[EXAMPLE]"
"Yhdeksältä lapset pesevät hampaat","[MEANING]","[EXAMPLE]"
"Sopii kelle","[MEANING]","[EXAMPLE]"